1 inguid1: Waypoint/line guidance against GPS target coordinates ' Missile ' May 17 2021 03:43:47
  0  0 40
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
0.0265807       1.25819         0.0329711       1.0113          0.0695593       
0.142048        0.179015        2000            15177.5         0               
31.5            0.972994        1.37938         -9.93812        23847.7         
0.65462         45.0486         35.0428         1999.46         217.729         
26.6357         0.0693232       4763.55         4407.35         -999.464        
194.623         97.6114         -0.263434       6               135.391         
1810.82         8.28014         0               0               1.01859         
0               1.88056         7.90174         7.90696         7.90174         
0.0253003       1.25498         0.032822        0.999017        0.0703529       
0.140559        0.263434        2000            15070.8         0               
32              0.971634        1.37902         -9.86286        23951.1         
0.656043        45.0491         35.0437         1999.61         218.202         
26.8204         0.086932        4860.88         4456.36         -999.615        
194.729         98.4516         -0.331066       6               135.389         
1810.61         8.21087         0               0               1.01107         
0               1.84479         7.97141         8.08333         7.97141         
0.0242802       1.25181         0.0321977       0.987592        0.0713921       
0.140522        0.331066        2000            14963.9         0               
32.5            0.971065        1.38975         -9.75308        24054.3         
0.657462        45.0497         35.0446         1999.79         218.673         
27.0055         0.0917953       4958.27         4505.8          -999.787        
194.829         99.294          -0.350342       6               135.387         
1810.4          8.12029         0               0               1.00026         
0               1.80048         8.12726         8.2867          8.12726         
0.0237192       1.24867         0.0314243       0.980657        0.0724061       
0.141615        0.350342        2000            14856.7         0               
33              0.969959        1.40664         -9.65629        24157.6         
0.658879        45.0502         35.0455         1999.96         219.144         
27.1921         0.0827333       5055.71         4555.66         -999.956        
194.924         100.143         -0.316436       6               135.385         
1810.2          8.03755         0               0               0.99084         
0               1.76228         8.30519         8.45816         8.30519         
0.0236269       1.24555         0.0307576       0.979376        0.0732091       
0.143336        0.316436        2000            14749.2         0               
